pmid,pmcid,indra_evidences,indra_evidences_entity_constraint,indra_statements,indra_statements_entity_constraint
33402637,PMC8066924,7,3,7,3
33402660,,2,1,2,1
33403119,PMC7747110,15,2,15,2
33403848,PMC8063785,29,1,29,1
33403891,PMC7801117,296,43,296,43
33403918,PMC7801116,71,3,71,3
33403934,PMC7984653,18,10,18,10
33403942,,6,1,6,1
33403946,PMC7876912,98,3,98,3
33404020,PMC8753632,46,5,46,5
33404074,PMC8048664,28,5,28,5
33404249,,2,1,2,1
33404255,PMC8276525,14,1,14,1
33404264,PMC7801115,24,1,24,1
33404275,,4,2,4,2
33404278,PMC8526020,6,1,6,1
33404279,PMC7889180,16,4,16,4
33404280,PMC8632093,17,1,17,1
33404284,PMC7889023,162,27,162,27
33404287,PMC7808322,47,5,47,5
33404323,PMC7971294,5,1,5,1
33404349,PMC7801120,67,5,67,5
33404363,PMC7938643,130,17,130,17
33404364,PMC8294617,3,1,3,1
33404372,,2,2,2,2
33404376,,7,1,7,1
33404407,,1,1,1,1
33404415,,4,1,4,1
33404464,,3,1,3,1
33404577,,4,1,4,1
33404578,,15,3,15,3
33404605,PMC7791343,9,2,9,2
33404606,PMC7791345,23,6,23,6
33404619,PMC7788463,29,5,29,5
33404626,PMC7916733,59,3,59,3
33404775,,25,7,25,7
33405400,,8,6,8,6
33405482,PMC7924916,232,51,232,51
33405903,PMC8023651,42,3,42,3
33405911,PMC7883559,30,4,30,4
33405936,,4,1,4,1
33405944,,4,1,4,1
33405949,PMC8098855,18,16,18,16
33405952,PMC8098850,77,1,77,1
33405953,PMC8098852,50,28,50,28
33405954,PMC8098849,122,4,122,4
33405963,PMC8098856,102,18,102,18
33406006,,12,2,12,2
33406025,PMC7948007,8,1,8,1
33406028,PMC8260356,13,4,13,4
33406192,,4,2,4,2
33406328,PMC7845486,35,1,35,1
33406361,PMC7846978,56,1,56,1
33406371,PMC7859666,5,3,5,3
33406404,PMC7955659,28,6,28,6
33406509,,4,2,4,2
33406839,,43,8,43,8
33406849,,11,2,11,2
33406852,,6,1,6,1
33406854,PMC8034502,215,50,215,50
33406866,,7,7,7,7
33406884,PMC7938420,213,81,213,81
33406939,,6,2,6,2
33406951,,3,2,3,2
33406960,PMC7808321,28,2,28,2
33406962,,6,1,6,1
33407017,PMC7988769,9,2,9,2
33407018,,16,1,16,1
33407019,,9,2,9,2
33407953,,11,4,11,4
33407966,PMC8312217,7,6,7,6
33407975,PMC7900664,69,10,69,10
33407981,PMC8311968,89,2,89,2
33408128,PMC7803460,76,4,76,4
33408197,PMC7789454,15,4,15,4
33408214,PMC7789445,9,1,9,1
33408223,PMC7845598,85,2,85,2
33408225,PMC7845589,232,23,232,23
33408226,PMC7845590,41,1,41,1
33408227,PMC7802429,67,1,67,1
33408232,PMC7845591,65,1,65,1
33408233,PMC7845596,78,22,78,22
33408234,PMC7845595,58,9,58,9
33408251,PMC7826354,9,1,9,1
33408276,PMC8139219,1,1,1,1
33408296,,8,5,8,5
33408297,,12,2,12,2
33408298,,9,4,9,4
33408307,PMC8043025,11,3,11,3
33408314,,14,1,14,1
33409495,PMC7770522,55,20,55,20
33409509,PMC8256799,89,5,89,5
33409513,PMC7970653,23,2,23,2
33410125,,17,14,17,14
33410323,PMC8340299,2,1,2,1
33410329,,7,1,7,1
33410333,PMC7955317,117,8,117,8
33410337,PMC7955300,23,1,23,1
33410354,,37,18,37,18
33410357,,1,1,1,1
33410435,,7,3,7,3
33410446,,5,1,5,1
33410616,PMC7817327,22,1,22,1
33410619,PMC8367038,2,1,2,1
33410631,PMC7846430,54,3,54,3
33410656,PMC7933093,47,13,47,13
33410670,PMC8218882,18,1,18,1
33410695,,1,1,1,1
33410734,PMC8515863,3,3,3,3
33410737,,2,1,2,1
33410857,,10,4,10,4
33411494,PMC7880526,63,1,63,1
33411500,,2,1,2,1
33411523,PMC8569887,48,3,48,3
33411579,PMC8580747,8,6,8,6
33411631,PMC8717258,20,12,20,12
33411633,PMC7799441,116,3,116,3
33411697,PMC7802375,14,5,14,5
33411818,PMC7790250,1,1,1,1
33411868,,3,2,3,2
33411894,PMC7929456,6,2,6,2
33411921,PMC7878394,77,3,77,3
33411937,PMC7938300,8,1,8,1
33412003,PMC7901021,59,5,59,5
33412597,,1,1,1,1
33412610,PMC7902100,15,8,15,8
33412895,PMC7797574,70,2,70,2
33412927,,1,1,1,1
33412940,,1,1,1,1
33412963,,2,1,2,1
33412984,,4,3,4,3
33413027,PMC7797569,17,1,17,1
33413706,,4,3,4,3
33414115,PMC7797263,10,8,10,8
33414159,PMC8092708,31,6,31,6
33414354,PMC8407730,1,1,1,1
33414614,PMC7757768,1,1,1,1
33415981,,2,1,2,1
33415987,,5,2,5,2
33416009,PMC7808392,59,9,59,9
33416020,PMC7876915,30,1,30,1
33416027,,1,1,1,1
33416037,PMC7833021,36,5,36,5
33416413,PMC7837368,12,11,12,11
33416428,,2,1,2,1
33416887,PMC7794665,22,12,22,12
33417430,,1,1,1,1
33417444,,1,1,1,1
33417459,PMC7927144,30,1,30,1
33417463,,1,1,1,1
33417472,PMC8900974,130,21,130,21
33417484,PMC8257920,3,3,3,3
33417512,PMC7808376,69,1,69,1
33417670,PMC7804498,2,2,2,2
33417761,,2,2,2,2
33417814,,3,1,3,1
33418232,,1,1,1,1
33418247,,1,1,1,1
33418542,,2,1,2,1
33419383,PMC8060774,1,1,1,1
33419386,,5,4,5,4
33419747,PMC7798777,21,2,21,2
33419909,PMC7798704,48,39,48,39
33419920,PMC7812807,40,3,40,3
33419925,PMC7812803,40,1,40,1
33419949,,2,1,2,1
33420552,PMC7873131,1,1,1,1
33420763,PMC7840451,37,2,37,2
33420764,PMC7840460,169,32,169,32
33421002,,5,2,5,2
33421049,PMC7805247,43,3,43,3
33421065,PMC7899266,18,5,18,5
33423210,PMC8282552,35,1,35,1
33423265,,6,4,6,4
33423527,PMC7946724,93,5,93,5
33423553,PMC8024503,17,2,17,2
33423569,,7,2,7,2
33423595,PMC7808421,103,5,103,5
33425002,PMC7793024,171,4,171,4
33425372,PMC7758563,2,1,2,1
33425494,PMC7779830,47,3,47,3
33425560,PMC7785480,4,1,4,1
33426250,PMC7777177,1,1,1,1
33426508,PMC7786221,6,1,6,1
33426894,PMC7805607,52,7,52,7
33426902,,2,1,2,1
33426922,,1,1,1,1
33426933,PMC7877947,52,6,52,6
33426934,PMC7832452,20,6,20,6
33426974,,12,1,12,1
33427041,,5,2,5,2
33427046,PMC8260360,6,1,6,1
33427049,PMC8828271,11,1,11,1
33427050,,15,3,15,3
33427054,PMC7988787,5,1,5,1
33427060,,30,13,30,13
33427061,PMC7988817,33,3,33,3
33427062,,14,1,14,1
33427064,PMC8406378,1,1,1,1
33427102,PMC7876913,132,7,132,7
33427209,PMC7821588,28,8,28,8
33427251,PMC7931133,1,1,1,1
33427280,PMC7938343,45,2,45,2
33427450,,20,5,20,5
33427470,,10,2,10,2
33427510,,3,2,3,2
33427515,PMC7808750,4,1,4,1
33427518,PMC7808382,17,1,17,1
33427524,,12,3,12,3
33427533,,8,1,8,1
33427538,,4,1,4,1
33427553,,1,1,1,1
33427554,PMC7852258,109,2,109,2
33427559,PMC7808738,31,4,31,4
33427563,PMC8078541,44,21,44,21
33427565,PMC7971283,20,1,20,1
33427568,,7,2,7,2
33427569,PMC7928025,23,7,23,7
33427574,PMC7808416,111,14,111,14
33427604,PMC8148304,69,16,69,16
33427737,,8,1,8,1
33427739,PMC7990419,25,4,25,4
33427741,PMC8122495,86,4,86,4
33427759,PMC8174569,35,9,35,9
33427806,PMC8078725,1,1,1,1
33427831,,7,1,7,1
33427875,PMC7802365,23,5,23,5
33428213,PMC7942974,11,2,11,2
33428376,PMC8270352,62,2,62,2
33428389,PMC7880572,70,1,70,1
33428396,PMC7844818,29,1,29,1
33428749,,8,2,8,2
33428857,PMC7887108,8,2,8,2
33430579,PMC7948512,47,3,47,3
33430602,PMC7819533,53,4,53,4
33430619,PMC7809303,84,10,84,10
33430620,PMC7809306,29,1,29,1
33430631,PMC7965352,147,37,147,37
33430638,PMC7834664,89,1,89,1
33430646,PMC7808752,49,11,49,11
33430657,PMC7808749,40,4,40,4
33430659,PMC7808739,102,1,102,1
33430705,PMC7808391,11,1,11,1
33431410,PMC7823164,90,17,90,17
33431492,PMC7802710,1,1,1,1
33431539,PMC7802699,26,2,26,2
33431668,PMC7826375,75,13,75,13
33431674,PMC7826351,10,2,10,2
33431684,PMC7826338,65,1,65,1
33431687,PMC7826367,6,2,6,2
33431694,PMC7826349,12,1,12,1
33431696,PMC7826340,51,5,51,5
33431697,PMC7826402,156,9,156,9
33431720,,5,1,5,1
33431723,PMC7859086,83,2,83,2
33431726,PMC7870416,31,1,31,1
