pmid,pmcid,indra_evidences,indra_evidences_entity_constraint,indra_statements,indra_statements_entity_constraint
33460415,WST_2020_554,2,2,2,2
33460425,PMC7821442,19,1,19,1
33460440,,4,1,4,1
33461290,PMC8903034,46,1,46,1
33461312,PMC7878412,28,5,28,5
33461313,PMC7878363,25,3,25,3
33461327,,5,1,5,1
33461328,,1,1,1,1
33461333,PMC7818005,198,20,198,20
33461373,PMC7889205,18,7,18,7
33461384,,35,12,35,12
33461385,PMC7833774,7,6,7,6
33461430,,4,3,4,3
33461661,PMC7990320,274,10,274,10
33461662,PMC7942223,140,3,140,3
33461663,PMC7864549,95,5,95,5
33461666,PMC8018603,203,9,203,9
33462020,PMC7816960,2,1,2,1
33462037,PMC7816897,25,3,25,3
33462097,PMC7813353,19,1,19,1
33462145,PMC7835086,15,2,15,2
33462417,PMC7812557,16,1,16,1
33462571,,2,1,2,1
33462575,PMC8006714,37,8,37,8
33463047,PMC7809598,27,1,27,1
33463069,PMC7805404,28,18,28,18
33463071,,13,2,13,2
33463562,PMC7933850,65,1,65,1
33463595,PMC7933886,38,12,38,12
33463596,PMC7933870,19,1,19,1
33463606,PMC7933879,1,1,1,1
33463992,,1,1,1,1
33464037,,4,1,4,1
33464039,,6,1,6,1
33464046,,8,2,8,2
33464049,,5,3,5,3
33464142,PMC8291797,139,5,139,5
33464167,PMC7834095,115,18,115,18
33464168,PMC7900913,67,9,67,9
33464244,,7,1,7,1
33464748,,3,2,3,2
33464808,,3,1,3,1
33464826,PMC8034807,2,1,2,1
33464827,PMC8106867,32,2,32,2
33464874,,3,1,3,1
33464878,PMC7888536,8,1,8,1
33464880,PMC7887066,43,1,43,1
33464881,,4,1,4,1
33464888,PMC7863067,34,9,34,9
33464903,PMC7934640,13,9,13,9
33464907,,1,1,1,1
33464911,PMC7927141,46,1,46,1
33464914,PMC7839412,272,2,272,2
33464917,PMC7839417,199,7,199,7
33464989,,8,1,8,1
33464992,PMC8352084,33,1,33,1
33464998,PMC7833772,90,39,90,39
33465209,,4,1,4,1
33465243,PMC8514169,49,2,49,2
33465308,PMC7988686,4,3,4,3
33465315,,8,1,8,1
33465322,,10,2,10,2
33465324,PMC7881179,168,16,168,16
33465325,PMC7881178,243,6,243,6
33465333,PMC7815954,49,5,49,5
33465746,PMC7814189,106,1,106,1
33465845,PMC7921518,39,6,39,6
33467027,PMC7829765,157,12,157,12
33467030,PMC7829700,35,1,35,1
33467127,PMC7830067,49,24,49,24
33467143,PMC7830300,93,19,93,19
33467389,PMC7829785,9,2,9,2
33467532,PMC7830794,8,3,8,3
33467912,PMC7818771,90,8,90,8
33467931,PMC7822067,64,7,64,7
33467957,,6,2,6,2
33467979,PMC7889175,130,12,130,12
33467980,PMC7872583,4,1,4,1
33467992,,6,2,6,2
33468005,PMC7893266,18,1,18,1
33468023,PMC7879755,38,2,38,2
33468263,PMC7884725,438,12,438,12
33468279,,4,4,4,4
33468652,PMC7848701,17,4,17,4
33468657,PMC7848703,144,42,144,42
33468660,PMC7848525,42,1,42,1
33468661,PMC7848697,8,1,8,1
33468664,PMC7848548,30,16,30,16
33468672,PMC7848563,61,1,61,1
33468673,PMC7848585,57,1,57,1
33468685,PMC7845644,88,5,88,5
33468690,PMC7845633,81,8,81,8
33468692,PMC7845637,79,5,79,5
33468693,PMC7845632,110,24,110,24
33468698,PMC7845631,128,2,128,2
33468699,PMC7845648,50,2,50,2
33468700,PMC7845635,90,22,90,22
33468701,PMC7845647,134,9,134,9
33469227,,1,1,1,1
33469573,PMC7814832,31,1,31,1
33469579,PMC7814816,27,1,27,1
33469580,PMC7814817,29,1,29,1
33469582,PMC7814819,106,6,106,6
33469586,PMC7814823,52,3,52,3
33469596,PMC7814842,2,2,2,2
33469600,PMC7814846,72,1,72,1
33469639,,8,6,8,6
33469903,,11,1,11,1
33469904,,8,1,8,1
33470097,PMC8849040,30,1,30,1
33470098,PMC7951137,9,1,9,1
33470102,,2,1,2,1
33470106,,4,1,4,1
33470109,PMC8262107,42,3,42,3
33470111,,3,1,3,1
33470124,PMC7955414,38,9,38,9
33470127,PMC7955443,53,9,53,9
33470144,PMC7968969,61,5,61,5
33470151,PMC7889126,5,2,5,2
33470178,,9,1,9,1
33470184,PMC7833017,5,3,5,3
33470468,PMC8048781,19,5,19,5
33470583,,1,1,1,1
33470616,,16,1,16,1
33470651,PMC8078239,25,1,25,1
33470652,PMC8078313,20,2,20,2
33470656,PMC7929608,26,7,26,7
33470757,PMC7870044,93,14,93,14
33470759,PMC8099021,58,5,58,5
33470764,PMC7886366,81,20,81,20
33470765,,7,1,7,1
33470769,PMC7878341,14,1,14,1
33470787,PMC8096124,8,2,8,2
33470793,,3,1,3,1
33470798,,7,2,7,2
33470799,,2,1,2,1
33470824,PMC7877731,45,11,45,11
33470825,,1,1,1,1
33470852,,9,4,9,4
33470865,,4,1,4,1
33470890,PMC7997717,31,1,31,1
33470903,,7,3,7,3
33470922,,1,1,1,1
33471008,,7,1,7,1
33471016,,3,1,3,1
33471201,PMC8049527,84,1,84,1
33471279,,4,1,4,1
33471452,,4,1,4,1
33471507,PMC7877725,20,1,20,1
33471508,,1,1,1,1
33471512,PMC8023531,53,5,53,5
33471513,PMC7887753,103,7,103,7
33471529,PMC7869866,2,1,2,1
33471530,,1,1,1,1
33471590,,2,1,2,1
33471600,,37,8,37,8
33471616,,4,2,4,2
33471620,,4,1,4,1
33471622,,9,6,9,6
33471630,,1,1,1,1
33471974,PMC8127622,2,2,2,2
33471997,,1,1,1,1
33472176,PMC7835047,10,1,10,1
33472324,,7,2,7,2
33472369,PMC7839414,19,3,19,3
33472398,PMC7901532,26,2,26,2
33472399,PMC8174560,180,12,180,12
33472402,PMC7901536,237,153,237,153
33472404,,7,5,7,5
33472405,PMC7904667,130,8,130,8
33472408,,11,3,11,3
33472415,PMC8804818,9,1,9,1
33472446,PMC7822066,24,1,24,1
33472448,,6,2,6,2
33472456,,12,1,12,1
